,Job_Title,Industry,State,N_Employees,Python,Java,Spark_Hadoop,Excel,Matlab,Tableau,Avg_Salary
792,data scientist,Business Services, OR,201 to 500 Employees,1,1,0,1,0,0,93.0
793,data scientist,Finance, OH,1001 to 5000 Employees,1,0,0,0,1,0,98.5
794,data scientist,Business Services, TX,201 to 500 Employees,1,0,0,0,0,0,113.0
795,data scientist,Retail, CA,1001 to 5000 Employees,0,0,0,1,0,0,114.5
796,data scientist,Travel & Tourism, CA,51 to 200 Employees,1,0,0,1,1,1,89.0
797,data scientist,Health Care,OH,10000+ Employees,0,0,0,0,0,1,85.5
798,data scientist,Aerospace & Defense, MD,10000+ Employees,0,1,0,1,0,0,133.0
799,data scientist,Information Technology, CA,10000+ Employees,1,1,1,0,0,0,102.5
800,data scientist,Finance, IN,5001 to 10000 Employees,1,0,0,1,1,0,72.5
801,data scientist,Information Technology, TX,51 to 200 Employees,1,0,0,0,0,0,79.5
802,data scientist,Media, NY,201 to 500 Employees,1,0,0,1,0,0,121.5
803,data scientist,Information Technology, WA,10000+ Employees,1,0,1,0,0,0,131.5
804,data scientist,Business Services, MA,201 to 500 Employees,1,0,0,0,0,0,67.5
805,data scientist,Business Services, CA,1 to 50 Employees,0,0,1,0,1,0,122.5
806,data scientist,Aerospace & Defense, TX,10000+ Employees,1,0,0,1,0,0,87.0
807,data scientist,Non-Profit, NY,201 to 500 Employees,1,0,0,0,0,0,107.0
808,data scientist,Health Care, NY,5001 to 10000 Employees,1,0,0,0,0,0,84.0
809,data scientist,Information Technology, CA,1001 to 5000 Employees,1,0,0,1,0,0,126.5
810,data scientist,Biotech & Pharmaceuticals, NC,10000+ Employees,1,1,1,0,0,0,88.5
811,data scientist,Retail, CA,10000+ Employees,1,0,1,0,0,0,99.0
812,data scientist,Business Services, VA,201 to 500 Employees,1,1,1,1,0,0,83.5
813,data scientist,Information Technology, IL,10000+ Employees,1,0,1,0,0,1,91.5
814,data scientist,Business Services, NY,5001 to 10000 Employees,1,0,1,0,0,0,113.0
815,data scientist,Information Technology, IL,51 to 200 Employees,1,0,1,1,0,1,107.5
816,data scientist,Finance, NY,1001 to 5000 Employees,1,0,1,0,1,0,156.0
817,data scientist,Manufacturing, CA,501 to 1000 Employees,1,0,0,0,0,0,123.0
818,data scientist,Telecommunications, IN,1 to 50 Employees,1,0,0,0,0,0,84.5
819,data scientist,Business Services, CO,51 to 200 Employees,1,0,0,1,0,0,86.0
820,data scientist,Information Technology, DC,51 to 200 Employees,0,0,0,0,0,0,120.5
821,data scientist,Business Services, GA,10000+ Employees,1,0,0,1,0,1,129.5
822,data scientist,Non-Profit, NY,201 to 500 Employees,1,0,0,0,0,0,107.0
