,Job_Title,Industry,State,N_Employees,Python,Java,Spark_Hadoop,Excel,Matlab,Tableau,Avg_Salary
124,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,1,0,0,0,111.0
125,data scientist,Information Technology, GA,1001 to 5000 Employees,1,0,0,0,1,0,94.5
126,data scientist,Finance, CA,201 to 500 Employees,1,0,0,1,0,1,132.0
127,data scientist,Manufacturing, VA,10000+ Employees,1,0,0,0,0,1,118.0
128,data analyst,Information Technology, CO,10000+ Employees,0,0,0,0,0,0,71.0
129,data scientist,Information Technology, CA,1001 to 5000 Employees,1,1,0,0,0,0,132.0
130,data scientist,Information Technology, CA,201 to 500 Employees,1,0,0,1,0,1,135.5
131,data scientist,Finance, AZ,1001 to 5000 Employees,1,0,0,0,0,0,110.0
132,data scientist,Finance, TX,5001 to 10000 Employees,1,1,0,1,0,1,142.0
133,manager,"Oil, Gas, Energy & Utilities", PA,501 to 1000 Employees,0,0,0,0,1,0,70.5
134,data scientist,Health Care, NM,10000+ Employees,1,0,1,0,0,1,102.0
135,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,0,0,0,0,0,0,70.5
136,manager,Retail, IL,5001 to 10000 Employees,1,0,0,1,0,0,93.0
137,data analyst,Biotech & Pharmaceuticals, TX,501 to 1000 Employees,0,0,0,0,0,0,58.5
138,data scientist,Information Technology, DC,51 to 200 Employees,1,0,0,1,0,1,141.5
139,manager,Retail, SC,1 to 50 Employees,0,0,0,0,0,0,61.5
140,data analyst,Health Care, CT,10000+ Employees,0,0,0,1,0,0,70.0
141,data scientist,Manufacturing, NY,10000+ Employees,0,0,0,1,0,0,49.5
142,data engineer,Information Technology, GA,1001 to 5000 Employees,0,0,1,0,0,0,66.0
143,data analyst,Information Technology, VA,501 to 1000 Employees,0,0,0,1,0,0,76.0
144,data scientist,Manufacturing, MN,10000+ Employees,1,0,1,1,0,1,114.5
145,data engineer,Business Services, VA,5001 to 10000 Employees,0,1,1,0,0,0,101.0
146,data scientist,Information Technology, CA,10000+ Employees,1,0,1,1,0,0,167.5
147,data scientist,Insurance, IL,10000+ Employees,1,0,0,0,0,0,102.0
148,data scientist,Insurance, IL,10000+ Employees,1,0,1,1,0,0,102.0
149,data analyst,Retail, FL,1001 to 5000 Employees,0,0,0,1,0,1,57.5
150,data analyst,Finance, WA,1001 to 5000 Employees,1,0,0,1,0,1,94.5
151,data analyst,Manufacturing, MS,1001 to 5000 Employees,0,0,0,1,0,0,72.0
152,data scientist,Aerospace & Defense, NJ,201 to 500 Employees,0,0,0,0,0,0,130.0
153,data scientist,"Restaurants, Bars & Food Services", MI,10000+ Employees,0,1,0,1,0,0,67.5
154,data scientist,Manufacturing, NC,10000+ Employees,0,0,0,1,0,0,90.5
155,data engineer,Information Technology, NC,10000+ Employees,1,1,1,1,0,0,84.5
156,data scientist,Business Services, MA,1001 to 5000 Employees,1,1,0,1,0,0,103.0
157,data scientist,Finance, TX,501 to 1000 Employees,1,0,0,1,0,0,137.5
158,data scientist,Accounting & Legal, TX,10000+ Employees,1,0,1,1,0,0,114.0
159,data scientist,Health Care, CA,5001 to 10000 Employees,1,1,0,1,1,0,128.5
160,data scientist,Information Technology, CA,5001 to 10000 Employees,1,1,1,1,0,0,159.0
161,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
162,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
163,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
164,data scientist,Business Services, CA,501 to 1000 Employees,1,1,0,1,0,0,111.0
165,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
166,data scientist,Information Technology, VA,5001 to 10000 Employees,1,0,1,0,0,0,78.5
167,data scientist,Insurance, CA,1001 to 5000 Employees,1,0,0,0,1,0,93.5
168,data engineer,Insurance, WI,10000+ Employees,1,0,0,0,0,1,91.5
169,data scientist,Finance, TX,1001 to 5000 Employees,1,0,1,1,0,0,113.0
170,data analyst,Aerospace & Defense, VA,10000+ Employees,1,0,0,0,0,0,70.0
171,data scientist,Business Services, VA,10000+ Employees,1,0,0,0,0,1,82.5
172,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
173,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
174,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
175,manager,Insurance, OH,501 to 1000 Employees,1,1,1,1,0,1,52.5
176,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
177,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
178,data engineer,Business Services, TX,1001 to 5000 Employees,1,0,0,0,0,1,85.5
179,data engineer,Information Technology, MI,51 to 200 Employees,1,0,1,1,0,0,107.5
180,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
181,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
182,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,0,0,0,50.0
183,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
184,data scientist,Biotech & Pharmaceuticals, CA,1001 to 5000 Employees,1,0,0,0,0,0,120.0
185,data engineer,Business Services, TX,10000+ Employees,1,0,1,1,0,0,82.5
186,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,0,1,0,1,93.0
187,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
188,data scientist,Biotech & Pharmaceuticals, CA,10000+ Employees,0,0,0,0,0,0,80.5
189,data scientist,Manufacturing, PA,1001 to 5000 Employees,1,0,1,1,0,0,100.0
190,data scientist,Finance, IA,1001 to 5000 Employees,1,0,0,1,0,0,118.5
191,data scientist,Information Technology, CA,201 to 500 Employees,1,0,1,0,0,0,182.5
192,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,0,63.5
193,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,239.5
194,data scientist,Biotech & Pharmaceuticals, TX,10000+ Employees,0,0,0,0,0,0,112.5
195,manager,Retail, WI,5001 to 10000 Employees,1,0,0,1,0,0,93.0
196,data scientist,Business Services, MA,501 to 1000 Employees,0,0,0,0,0,0,45.0
197,data scientist,Manufacturing, NC,10000+ Employees,0,0,0,1,0,0,90.5
198,data analyst,Retail, WI,5001 to 10000 Employees,0,0,0,1,0,1,72.0
199,data engineer,Information Technology, GA,10000+ Employees,0,0,0,0,0,0,77.0
200,data analyst,Business Services, MI,201 to 500 Employees,1,0,0,1,0,0,79.5
201,data engineer,Insurance, MD,10000+ Employees,0,1,1,1,0,0,89.5
202,data engineer,Insurance, NC,10000+ Employees,1,1,1,1,0,0,54.5
203,data analyst,Insurance, ND,1001 to 5000 Employees,0,0,0,1,0,0,52.0
204,data analyst,Non-Profit, WI,201 to 500 Employees,0,1,0,1,0,0,65.0
205,manager,Retail, WI,5001 to 10000 Employees,0,0,0,0,0,0,23.5
206,data analyst,Non-Profit, CA,201 to 500 Employees,0,0,0,0,0,0,38.5
207,data scientist,Education, GA,1001 to 5000 Employees,1,0,1,1,0,1,72.0
208,data scientist,Biotech & Pharmaceuticals, MO,10000+ Employees,1,0,0,1,1,0,88.0
209,manager,Education, NC,1 to 50 Employees,0,0,0,0,0,1,38.5
210,data engineer,Information Technology, GA,1001 to 5000 Employees,1,0,0,1,0,0,84.0
211,data scientist,Information Technology, CA,1001 to 5000 Employees,1,1,0,0,0,0,132.0
212,data analyst,Biotech & Pharmaceuticals, TX,501 to 1000 Employees,0,0,0,0,0,0,58.5
213,data analyst,Health Care, CT,10000+ Employees,0,0,0,1,0,0,70.0
214,data scientist,Insurance, IL,10000+ Employees,1,0,0,0,0,0,102.0
215,data engineer,Information Technology, VA,5001 to 10000 Employees,1,1,1,0,0,0,118.5
216,data scientist,Insurance, IL,10000+ Employees,1,0,1,1,0,0,102.0
217,data scientist,Information Technology, MA,501 to 1000 Employees,0,0,0,0,0,0,165.5
218,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,0,1,0,0,89.5
219,mach. learn. engineer,Information Technology, TX,10000+ Employees,1,1,0,1,0,0,103.5
220,data scientist,Information Technology, CA,10000+ Employees,1,1,1,1,0,0,125.5
221,data analyst,Retail, PA,201 to 500 Employees,0,0,0,1,0,0,53.5
222,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
223,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
224,data analyst,Telecommunications, FL,201 to 500 Employees,0,0,0,0,0,0,44.0
225,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
226,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
227,data analyst,Health Care, PA,5001 to 10000 Employees,0,0,0,1,0,0,49.5
228,data scientist,Information Technology, VA,5001 to 10000 Employees,1,0,1,0,0,0,78.5
229,data analyst,Insurance, NY,1001 to 5000 Employees,0,0,0,1,0,1,47.5
230,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
231,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
232,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
233,data analyst,Health Care, TX,1001 to 5000 Employees,0,0,0,1,0,0,89.5
234,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
235,data analyst,Finance, VA,201 to 500 Employees,0,0,0,1,0,1,86.5
236,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
237,data engineer,Finance, TX,501 to 1000 Employees,1,0,1,0,0,0,60.0
238,manager,Business Services, NY,501 to 1000 Employees,0,0,1,1,0,1,157.0
239,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
240,data analyst,Business Services, WI,51 to 200 Employees,0,0,0,1,0,1,59.0
241,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
242,data analyst,Non-Profit, PA,201 to 500 Employees,1,0,0,1,0,0,63.0
243,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
244,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
245,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
246,data scientist,Biotech & Pharmaceuticals, CA,1001 to 5000 Employees,1,0,0,0,0,0,120.0
247,mach. learn. engineer,Aerospace & Defense, NJ,10000+ Employees,1,0,0,0,0,0,95.5
248,data engineer,Finance, CA,501 to 1000 Employees,1,1,0,1,0,1,163.0
249,data scientist,Health Care, TN,10000+ Employees,0,0,0,0,0,0,26.5
250,data engineer,Finance, CA,1001 to 5000 Employees,1,1,0,1,0,0,112.0
251,data scientist,Biotech & Pharmaceuticals, CA,51 to 200 Employees,1,0,0,0,0,0,135.0
252,data analyst,Information Technology, OH,501 to 1000 Employees,0,0,0,0,0,0,76.0
253,data scientist,Health Care, TX,501 to 1000 Employees,1,0,0,0,0,1,89.5
254,data scientist,Retail, TX,10000+ Employees,1,1,1,1,0,0,124.0
255,data analyst,Aerospace & Defense, VA,10000+ Employees,1,0,0,0,0,0,70.0
256,data scientist,Biotech & Pharmaceuticals, CA,201 to 500 Employees,1,1,0,0,0,0,211.0
257,data scientist,Information Technology, WA,10000+ Employees,1,0,0,0,0,0,110.0
258,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
259,data scientist,Biotech & Pharmaceuticals, TX,1001 to 5000 Employees,0,0,0,1,0,0,51.5
260,data scientist,Information Technology, CA,5001 to 10000 Employees,1,1,1,1,0,0,159.0
261,data engineer,Business Services, WA,201 to 500 Employees,1,0,1,0,0,0,100.0
262,data analyst,Media, TX,201 to 500 Employees,0,0,0,1,0,1,110.0
263,data analyst,Telecommunications, FL,201 to 500 Employees,0,0,0,0,0,0,44.0
264,data scientist,Insurance, MA,10000+ Employees,1,0,0,0,0,0,133.0
265,data engineer,Non-Profit, PA,201 to 500 Employees,1,0,0,0,0,0,72.5
266,data scientist,Business Services, CA,501 to 1000 Employees,1,1,0,1,0,0,111.0
267,data analyst,Business Services, WI,51 to 200 Employees,0,0,0,1,0,1,59.0
268,data scientist,Insurance, CA,1001 to 5000 Employees,1,0,0,0,1,0,93.5
269,data scientist,Finance, TX,1001 to 5000 Employees,1,0,1,1,0,0,113.0
270,data engineer,Insurance, WI,10000+ Employees,1,0,0,0,0,1,91.5
271,data analyst,Health Care, PA,5001 to 10000 Employees,0,0,0,1,0,0,49.5
272,data scientist,Business Services, VA,10000+ Employees,1,0,0,0,0,1,82.5
273,data analyst,Insurance, NY,1001 to 5000 Employees,0,0,0,1,0,1,47.5
274,data analyst,Business Services, MO,1001 to 5000 Employees,1,0,0,0,1,0,53.5
275,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
276,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
277,data scientist,Education, PA,5001 to 10000 Employees,0,0,0,1,0,0,91.0
278,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
279,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
280,data scientist,Finance, NY,51 to 200 Employees,1,0,0,1,1,0,177.0
281,data analyst,Health Care, TX,1001 to 5000 Employees,0,0,0,1,0,0,89.5
282,data analyst,Information Technology, VA,51 to 200 Employees,1,0,0,1,0,1,64.0
283,data scientist,Government, MD,201 to 500 Employees,0,0,0,1,0,0,54.5
284,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,109.0
285,mach. learn. engineer,Finance, NY,51 to 200 Employees,1,0,0,1,1,0,177.0
286,data engineer,Information Technology, CT,10000+ Employees,0,0,0,1,0,0,72.0
287,data scientist,Finance, IL,501 to 1000 Employees,1,0,0,1,0,0,196.0
288,data engineer,Health Care, VA,10000+ Employees,1,1,0,1,0,0,73.5
289,data analyst,Finance, VA,201 to 500 Employees,0,0,0,1,0,1,86.5
290,data engineer,Manufacturing, TX,5001 to 10000 Employees,1,0,0,1,0,0,145.0
292,data scientist,Information Technology, NY,201 to 500 Employees,0,0,0,1,0,0,182.0
293,manager,Business Services, NY,501 to 1000 Employees,0,0,1,1,0,1,157.0
294,data scientist,Business Services, MD,51 to 200 Employees,1,1,0,0,0,0,121.0
295,data analyst,Finance, AZ,1001 to 5000 Employees,0,0,0,1,0,1,60.0
296,data scientist,Retail, CA,501 to 1000 Employees,1,0,0,0,1,1,149.5
297,data engineer,Information Technology, MI,51 to 200 Employees,1,0,1,1,0,0,107.5
298,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,1,0,0,49.0
299,data scientist,Aerospace & Defense, VA,10000+ Employees,1,0,1,0,0,0,91.5
300,data scientist,Biotech & Pharmaceuticals, MD,10000+ Employees,0,0,0,0,0,0,58.5
301,data scientist,Non-Profit, MD,1001 to 5000 Employees,0,0,0,1,0,1,187.5
302,data analyst,Retail, IL,5001 to 10000 Employees,0,0,0,1,0,0,72.0
303,data engineer,Business Services, TX,10000+ Employees,1,0,1,1,0,0,82.5
304,data scientist,Aerospace & Defense, VA,10000+ Employees,1,1,0,1,0,1,93.0
305,data scientist,Manufacturing, PA,10000+ Employees,1,1,0,0,0,0,123.0
306,data scientist,Media, CA,501 to 1000 Employees,1,1,1,0,0,0,179.5
307,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,0,0,0,103.0
308,data scientist,Biotech & Pharmaceuticals, MD,51 to 200 Employees,0,0,0,1,0,0,50.5
309,data scientist,Information Technology, OH,201 to 500 Employees,1,0,1,0,0,0,82.0
310,data scientist,Manufacturing, PA,1001 to 5000 Employees,1,0,1,1,0,0,100.0
311,data analyst,Finance, UT,201 to 500 Employees,1,1,0,0,0,0,81.0
312,data scientist,Telecommunications, GA,10000+ Employees,1,1,1,0,0,1,87.0
313,data scientist,Information Technology, CA,10000+ Employees,0,0,0,1,0,0,129.5
314,data scientist,Information Technology, CT,51 to 200 Employees,1,0,0,1,0,1,85.0
315,data scientist,Consumer Services, TX,201 to 500 Employees,1,1,1,0,0,1,128.5
316,data scientist,Information Technology, MA,1 to 50 Employees,1,1,0,1,0,0,114.5
317,manager,Health Care, NJ,1001 to 5000 Employees,0,0,0,1,0,0,69.0
318,data scientist,Information Technology, CA,1001 to 5000 Employees,1,0,0,1,1,1,111.0
319,data scientist,Information Technology, NY,201 to 500 Employees,1,0,1,0,0,1,138.0
320,data scientist,Health Care, CA,51 to 200 Employees,1,0,0,0,0,0,142.5
321,data scientist,Finance, OH,10000+ Employees,0,0,0,1,0,0,118.0
322,mach. learn. engineer,Aerospace & Defense, NJ,10000+ Employees,1,0,0,0,0,0,95.5
323,data scientist,Biotech & Pharmaceuticals, PA,10000+ Employees,0,0,0,0,0,0,86.5
324,data scientist,Information Technology, CA,201 to 500 Employees,1,0,0,1,0,1,139.0
325,data scientist,Business Services, PA,1001 to 5000 Employees,1,0,1,1,1,0,120.0
326,data scientist,Health Care, TN,10000+ Employees,0,0,0,0,0,0,26.5
327,data scientist,Finance, VA,10000+ Employees,1,0,1,0,0,0,113.0
328,data analyst,Information Technology, CA,1001 to 5000 Employees,0,0,0,1,0,1,79.0
329,data scientist,Biotech & Pharmaceuticals, MA,51 to 200 Employees,0,0,0,1,0,0,213.5
330,data scientist,Biotech & Pharmaceuticals, CA,51 to 200 Employees,1,0,0,0,0,0,135.0
331,data scientist,"Oil, Gas, Energy & Utilities", CO,10000+ Employees,1,0,0,1,0,0,127.5
332,data scientist,Business Services, MA,10000+ Employees,0,0,0,1,0,0,112.0
333,data scientist,Manufacturing, OR,10000+ Employees,1,0,1,1,0,0,119.0
334,data scientist,Information Technology, TX,51 to 200 Employees,1,1,1,0,1,0,120.0
335,data scientist,Aerospace & Defense, VA,51 to 200 Employees,1,0,0,0,1,0,90.5
336,data scientist,Information Technology, NY,10000+ Employees,1,0,1,1,0,1,137.5
337,data scientist,Information Technology, CA,1001 to 5000 Employees,1,0,1,0,0,0,132.5
338,data scientist,Information Technology, CA,51 to 200 Employees,1,0,0,0,0,0,130.0
339,data scientist,Finance, UT,201 to 500 Employees,1,0,0,1,0,0,42.0
340,data scientist,Media, TX,1001 to 5000 Employees,1,0,1,0,0,1,136.0
341,data scientist,Education, MA,1001 to 5000 Employees,1,0,1,0,0,0,182.0
342,data scientist,Information Technology, CA,10000+ Employees,0,0,0,1,0,1,149.0
343,data analyst,Insurance, NJ,1001 to 5000 Employees,1,0,0,0,1,0,117.0
344,data scientist,Information Technology, CA,10000+ Employees,1,1,1,1,0,0,125.5
345,data scientist,Information Technology, CA,501 to 1000 Employees,1,0,1,0,0,0,151.5
346,data scientist,Biotech & Pharmaceuticals, TX,501 to 1000 Employees,0,0,0,1,0,0,66.5
347,data scientist,Information Technology, TX,201 to 500 Employees,1,0,0,1,0,1,138.5
348,data scientist,Manufacturing, IL,10000+ Employees,1,0,1,0,0,0,116.0
349,data scientist,Government, OH,501 to 1000 Employees,0,0,0,0,0,0,116.0
350,data scientist,Finance, OH,10000+ Employees,0,0,0,1,0,0,118.0
351,data scientist,Manufacturing, NY,1001 to 5000 Employees,1,0,0,1,0,0,135.0
352,data scientist,Information Technology, CA,201 to 500 Employees,0,0,0,0,0,0,146.0
353,data scientist,Insurance, PA,10000+ Employees,1,0,1,0,0,0,113.0
354,data scientist,Information Technology, DC,1001 to 5000 Employees,1,0,0,0,0,0,113.0
355,data scientist,Media, CA,5001 to 10000 Employees,1,0,0,1,0,1,144.0
356,data scientist,Information Technology, CA,10000+ Employees,1,0,0,1,0,0,114.0
357,data scientist,Health Care, WI,1001 to 5000 Employees,1,0,0,1,0,0,87.5
358,data analyst,Finance, CA,201 to 500 Employees,0,0,0,1,0,1,72.0
359,data scientist,Information Technology, MA,1 to 50 Employees,1,0,1,0,0,0,77.0
360,data scientist,Information Technology, VA,10000+ Employees,1,1,0,0,0,0,104.0
361,data scientist,Information Technology, NC,51 to 200 Employees,1,0,0,0,0,0,104.5
362,data scientist,Information Technology, MA,501 to 1000 Employees,1,0,0,1,1,0,101.5
363,data scientist,Manufacturing, NJ,10000+ Employees,1,0,0,1,0,0,116.5
364,data scientist,Information Technology, CA,201 to 500 Employees,0,0,0,0,0,0,134.0
365,data scientist,Health Care, CA,10000+ Employees,0,0,0,1,0,0,128.5
366,data scientist,Information Technology, OR,1 to 50 Employees,1,0,1,1,0,0,144.5
367,data scientist,Health Care, MA,10000+ Employees,1,1,0,1,0,0,85.0
368,data scientist,Retail, CA,51 to 200 Employees,1,0,0,0,0,0,158.0
369,data scientist,"Oil, Gas, Energy & Utilities", TX,1001 to 5000 Employees,1,1,0,1,0,0,105.0
370,data scientist,Information Technology, CA,10000+ Employees,1,0,0,1,0,0,155.5
371,data scientist,Information Technology, UT,501 to 1000 Employees,1,0,0,1,0,0,80.0
372,data scientist,"Oil, Gas, Energy & Utilities", TX,1001 to 5000 Employees,1,1,0,1,0,0,105.0
373,data analyst,Aerospace & Defense, TX,10000+ Employees,1,0,0,0,1,0,62.5
374,data scientist,Information Technology, NJ,10000+ Employees,1,0,0,0,0,0,133.0
375,data scientist,Information Technology, UT,501 to 1000 Employees,1,0,0,1,0,0,80.0
376,data scientist,"Oil, Gas, Energy & Utilities", MA,51 to 200 Employees,1,0,0,1,0,0,98.0
377,data scientist,Agriculture & Forestry, FL,1 to 50 Employees,1,0,0,0,0,0,104.5
378,data analyst,Health Care, MA,5001 to 10000 Employees,0,0,0,1,0,0,48.0
379,data scientist,Information Technology, NY,10000+ Employees,1,0,1,0,0,1,131.0
380,data scientist,Agriculture & Forestry, CO,10000+ Employees,1,0,0,0,0,0,87.5
381,data scientist,Information Technology, NJ,1 to 50 Employees,1,1,1,1,1,1,149.0
382,data scientist,Information Technology, VA,51 to 200 Employees,1,0,1,1,0,1,130.0
383,data scientist,Information Technology, MA,1001 to 5000 Employees,0,0,0,0,0,0,136.5
384,data scientist,Retail, CA,501 to 1000 Employees,1,0,0,0,0,1,144.5
385,data scientist,Business Services, CA,1001 to 5000 Employees,1,0,0,1,0,0,116.0
386,data scientist,Business Services, WI,1001 to 5000 Employees,1,0,0,0,0,0,110.5
387,data scientist,Information Technology, VA,10000+ Employees,1,1,0,1,0,0,118.5
389,data scientist,Aerospace & Defense, CO,10000+ Employees,0,0,1,0,0,0,89.5
390,data scientist,Information Technology, CA,10000+ Employees,1,0,1,0,0,1,147.5
391,data scientist,Business Services, MA,201 to 500 Employees,1,0,0,1,0,0,133.0
392,data engineer,Transportation & Logistics, NJ,5001 to 10000 Employees,1,1,0,1,0,0,182.0
393,data scientist,Information Technology, MA,201 to 500 Employees,1,0,0,0,0,0,124.5
394,manager,Information Technology, IL,501 to 1000 Employees,0,0,0,1,0,0,67.0
395,data scientist,Information Technology, NY,10000+ Employees,1,0,0,1,0,1,68.5
396,data scientist,Information Technology, CA,201 to 500 Employees,1,0,0,0,0,0,127.0
397,data scientist,Information Technology, WA,1001 to 5000 Employees,1,0,0,0,0,1,101.5
398,data scientist,Information Technology, CA,1001 to 5000 Employees,1,0,0,0,0,0,127.5
399,manager,Information Technology, NY,501 to 1000 Employees,1,0,0,1,0,0,79.0
400,data scientist,Information Technology, NY,1001 to 5000 Employees,1,0,1,0,0,0,139.5
401,data scientist,Business Services, NJ,51 to 200 Employees,1,1,0,0,1,0,87.0
402,data scientist,Finance, UT,1001 to 5000 Employees,1,1,1,1,0,0,86.5
403,data scientist,Information Technology, NY,1001 to 5000 Employees,1,1,1,0,0,0,112.0
404,data scientist,Information Technology, CA,10000+ Employees,1,1,1,0,0,0,135.0
405,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,0,0,0,0,0,0,102.0
406,data scientist,Biotech & Pharmaceuticals, CA,501 to 1000 Employees,1,0,0,1,0,0,115.5
407,data scientist,Biotech & Pharmaceuticals, WA,5001 to 10000 Employees,0,0,0,1,0,0,78.5
408,data scientist,Retail, NC,10000+ Employees,1,1,1,0,0,0,121.5
409,mach. learn. engineer,Education, CA,501 to 1000 Employees,1,0,0,0,0,0,108.5
410,data scientist,Finance, FL,10000+ Employees,0,0,0,0,0,0,103.0
411,data scientist,Business Services, NY,10000+ Employees,1,0,0,0,0,0,104.0
412,data scientist,Finance, CO,201 to 500 Employees,1,0,1,0,1,0,135.0
413,data scientist,Biotech & Pharmaceuticals, MN,1001 to 5000 Employees,1,0,1,0,0,0,72.0
414,data scientist,Finance, NY,5001 to 10000 Employees,1,1,1,0,0,0,112.5
415,data scientist,Manufacturing, MA,1001 to 5000 Employees,1,0,0,1,0,0,104.0
416,data scientist,Aerospace & Defense, MD,201 to 500 Employees,1,0,0,1,1,0,110.0
417,data scientist,Information Technology, GA,1001 to 5000 Employees,1,1,1,0,0,0,119.0
418,data scientist,Manufacturing, CA,10000+ Employees,0,0,1,0,0,0,107.0
419,data scientist,Accounting & Legal, CA,51 to 200 Employees,1,0,1,0,1,0,142.0
420,data scientist,Biotech & Pharmaceuticals, WY,10000+ Employees,0,0,1,0,0,0,74.0
421,data scientist,Manufacturing, MA,5001 to 10000 Employees,1,0,0,0,1,0,79.5
422,data scientist,Biotech & Pharmaceuticals, MA,201 to 500 Employees,1,0,0,0,0,0,82.0
423,data scientist,Aerospace & Defense, DC,10000+ Employees,1,1,1,0,0,1,139.0
424,data scientist,Manufacturing, MD,1001 to 5000 Employees,1,0,0,0,0,0,78.5
425,data scientist,Business Services, MA,10000+ Employees,1,0,1,1,0,0,71.5
426,data scientist,Information Technology, NY,1001 to 5000 Employees,1,0,0,0,0,0,73.0
427,data scientist,Finance, NY,201 to 500 Employees,1,0,0,0,0,0,150.5
428,data scientist,Business Services, IL,51 to 200 Employees,1,0,0,1,0,0,104.0
429,data scientist,Health Care, IL,5001 to 10000 Employees,1,1,0,0,0,0,79.0
430,data scientist,Business Services, CA,201 to 500 Employees,0,0,0,0,0,0,164.5
431,data scientist,Finance, TX,1001 to 5000 Employees,1,0,0,0,0,1,121.5
432,data scientist,Information Technology, NC,201 to 500 Employees,1,1,1,1,0,0,116.5
433,data scientist,Information Technology, MI,1001 to 5000 Employees,1,0,1,1,0,0,92.0
434,data scientist,Information Technology, CA,10000+ Employees,1,1,1,0,0,0,135.0
435,data scientist,Finance, UT,1001 to 5000 Employees,1,1,1,1,0,0,86.5
436,data scientist,Biotech & Pharmaceuticals, NC,51 to 200 Employees,0,0,0,1,0,0,47.0
437,data scientist,Information Technology, NY,1001 to 5000 Employees,1,1,1,0,0,0,112.0
438,data scientist,Manufacturing, GA,10000+ Employees,1,1,1,0,0,0,126.5
439,data scientist,Biotech & Pharmaceuticals, MA,10000+ Employees,0,0,0,0,0,0,102.0
441,data scientist,Biotech & Pharmaceuticals, CA,501 to 1000 Employees,1,0,0,1,0,0,115.5
442,mach. learn. engineer,Education, CA,501 to 1000 Employees,1,0,0,0,0,0,108.5
443,data scientist,Retail, NC,10000+ Employees,1,1,1,0,0,0,121.5
444,data scientist,Business Services, CA,201 to 500 Employees,0,0,0,0,0,0,164.5
445,data scientist,Finance, FL,10000+ Employees,0,0,0,0,0,0,103.0
446,data scientist,Finance, CO,201 to 500 Employees,1,0,1,0,1,0,135.0
447,data scientist,Information Technology, MI,1001 to 5000 Employees,1,0,0,1,0,1,83.0
448,data scientist,Information Technology, WA,1 to 50 Employees,1,0,0,0,0,0,90.5
449,data scientist,Finance, NY,5001 to 10000 Employees,1,1,1,0,0,0,112.5
450,data scientist,Aerospace & Defense, MD,201 to 500 Employees,1,0,0,1,1,0,110.0
451,data scientist,Biotech & Pharmaceuticals, MN,1001 to 5000 Employees,1,0,1,0,0,0,72.0
